yearID,lgID,G,W,WIN PCT,R,AB,H,HR,BB,SO,SB,RA,ERA,HA,E,FP,RUNDIFF
2004,NL,162,67,0.413580247,635,5474,1361,151,496,925,109,769,4.33,1477,99,0.984,0
2004,AL,162,101,0.62345679,897,5527,1483,242,670,982,84,808,4.69,1532,99,0.984,1
2004,NL,162,71,0.438271605,684,5532,1376,185,512,1159,107,731,4.09,1452,137,0.978,0
2004,AL,162,91,0.561728395,793,5728,1545,189,608,1061,47,742,4.17,1466,91,0.986,1
2004,NL,162,86,0.530864198,840,5643,1505,215,645,1133,100,781,4.45,1488,81,0.987,1
2004,NL,161,72,0.447204969,680,5483,1428,142,415,1066,63,744,4.29,1451,103,0.983,0
2004,NL,162,87,0.537037037,768,5573,1521,139,566,910,52,705,4.03,1460,108,0.982,1
2004,AL,162,63,0.388888889,698,5722,1544,136,492,1058,110,823,4.76,1498,103,0.983,0
2004,NL,162,91,0.561728395,850,5546,1500,183,705,874,43,770,4.29,1481,101,0.984,1
2004,NL,162,105,0.648148148,855,5555,1544,214,548,1085,111,659,3.75,1378,97,0.985,1
2004,AL,161,70,0.434782609,714,5483,1416,145,469,944,132,842,4.81,1459,119,0.98,0
2004,AL,162,89,0.549382716,860,5615,1492,227,500,1099,69,794,4.53,1536,117,0.981,1
2004,AL,161,67,0.416149068,719,5531,1438,145,513,1083,58,823,4.91,1505,91,0.985,0
2005,NL,162,77,0.475308642,696,5550,1419,191,606,1094,67,856,4.84,1580,94,0.985,0
2005,NL,162,90,0.555555556,769,5486,1453,184,534,1084,92,674,3.98,1487,86,0.986,1
2005,AL,162,74,0.456790123,729,5551,1492,189,447,902,83,800,4.56,1458,107,0.982,0
2005,AL,162,95,0.586419753,910,5626,1579,199,653,1044,45,805,4.74,1550,109,0.982,1
2005,AL,162,99,0.611111111,741,5529,1450,200,435,1002,137,645,3.61,1392,94,0.985,1
2005,NL,162,79,0.487654321,703,5584,1506,194,419,920,65,714,4.19,1357,101,0.983,0
2005,NL,163,73,0.447852761,820,5565,1453,222,611,1303,72,889,5.15,1657,104,0.983,0
2005,AL,162,93,0.574074074,790,5609,1522,207,503,1093,62,642,3.61,1363,106,0.983,1
2005,NL,162,67,0.413580247,740,5542,1477,150,509,1103,65,862,5.13,1600,118,0.981,0
2005,AL,162,71,0.438271605,723,5602,1521,168,384,1038,66,787,4.51,1504,110,0.982,0
2005,NL,162,83,0.512345679,717,5502,1499,128,512,918,96,732,4.16,1459,103,0.983,0
2005,NL,163,89,0.54601227,693,5462,1400,161,481,1037,115,609,3.51,1336,89,0.985,1
2005,AL,162,56,0.345679012,701,5503,1445,126,424,1008,53,935,5.49,1640,125,0.979,0
2005,AL,162,95,0.586419753,761,5624,1520,147,447,848,161,643,3.68,1419,87,0.986,1
2005,NL,162,71,0.438271605,685,5433,1374,149,541,1094,58,755,4.38,1434,106,0.983,0
2005,NL,162,81,0.5,726,5448,1413,175,531,1162,79,697,3.97,1382,119,0.98,1
2005,AL,162,83,0.512345679,688,5564,1441,134,485,978,102,662,3.71,1458,102,0.984,1
2005,AL,162,95,0.586419753,886,5624,1552,229,637,989,84,789,4.52,1495,95,0.984,1
2005,NL,162,83,0.512345679,722,5505,1421,175,486,1075,153,648,3.76,1390,106,0.983,1
2005,AL,162,88,0.543209877,772,5627,1476,155,537,819,31,658,3.69,1315,88,0.986,1
2005,NL,162,88,0.543209877,807,5542,1494,167,639,1083,116,726,4.21,1379,90,0.985,1
2005,NL,162,67,0.413580247,680,5573,1445,139,471,1092,73,769,4.42,1456,117,0.981,0
2005,NL,162,82,0.50617284,684,5502,1416,130,600,977,99,726,4.13,1452,109,0.982,0
2005,AL,162,69,0.425925926,699,5507,1408,130,466,986,102,751,4.49,1483,86,0.986,0
2005,NL,162,75,0.462962963,649,5462,1427,128,431,901,71,745,4.33,1456,90,0.985,0
2005,NL,162,100,0.617283951,805,5538,1494,170,534,947,83,634,3.49,1399,100,0.984,1
2005,AL,162,67,0.413580247,750,5552,1519,157,412,990,151,936,5.39,1570,124,0.979,0
2005,AL,162,79,0.487654321,865,5716,1528,260,495,1112,67,858,4.96,1589,108,0.982,1
2005,AL,162,80,0.49382716,775,5581,1480,136,486,955,72,705,4.06,1475,95,0.985,1
2005,NL,162,81,0.5,639,5426,1367,117,491,1090,45,673,3.87,1456,92,0.985,0
2006,NL,162,76,0.469135802,773,5645,1506,160,504,965,76,788,4.48,1503,104,0.983,0
2006,NL,162,79,0.487654321,849,5583,1510,222,526,1169,52,805,4.6,1529,99,0.984,1
2006,AL,162,70,0.432098765,768,5610,1556,164,474,878,121,899,5.35,1579,102,0.983,0
2006,AL,162,86,0.530864198,820,5619,1510,192,672,1056,51,825,4.83,1570,66,0.989,0
2006,AL,162,90,0.555555556,868,5657,1586,236,502,1056,93,794,4.61,1534,90,0.985,1
2006,NL,162,66,0.407407407,716,5587,1496,166,395,928,121,834,4.74,1396,106,0.982,0
2006,NL,162,80,0.49382716,749,5515,1419,217,614,1192,124,801,4.51,1576,128,0.979,0
2006,AL,162,78,0.481481481,870,5619,1576,196,556,1204,55,782,4.41,1583,118,0.981,1
2006,NL,162,76,0.469135802,813,5562,1504,157,561,1108,85,812,4.66,1549,91,0.985,1
2006,AL,162,95,0.586419753,822,5642,1548,203,430,1133,60,675,3.84,1420,106,0.983,1
2006,NL,162,78,0.481481481,758,5502,1454,182,497,1249,110,772,4.37,1465,126,0.979,0
2006,NL,162,82,0.50617284,735,5521,1407,174,585,1076,79,719,4.08,1425,80,0.987,1
2006,AL,162,62,0.382716049,757,5589,1515,124,474,1040,65,971,5.65,1648,98,0.984,0
2006,AL,162,89,0.549382716,766,5609,1539,159,486,914,148,732,4.04,1410,124,0.979,1
2006,NL,162,88,0.543209877,820,5628,1552,153,601,959,128,751,4.23,1524,115,0.982,1
2006,NL,162,75,0.462962963,730,5433,1400,180,502,1233,71,833,4.82,1454,117,0.98,0
2006,AL,162,96,0.592592593,801,5602,1608,143,490,872,101,683,3.95,1490,84,0.986,1
2006,AL,162,97,0.598765432,930,5651,1608,210,649,1053,139,767,4.41,1463,104,0.983,1
2006,NL,162,97,0.598765432,834,5558,1469,200,547,1071,146,731,4.14,1402,104,0.983,1
2006,AL,162,93,0.574074074,771,5500,1429,175,650,976,61,727,4.21,1525,84,0.986,1
2006,NL,162,85,0.524691358,865,5687,1518,216,626,1203,92,812,4.6,1561,104,0.983,1
2006,NL,162,67,0.413580247,691,5558,1462,141,459,1200,68,797,4.52,1545,104,0.983,0
2006,NL,162,88,0.543209877,731,5576,1465,161,564,1104,123,679,3.87,1385,92,0.985,1
2006,AL,162,78,0.481481481,756,5670,1540,172,404,974,106,792,4.6,1500,88,0.985,0
2006,NL,161,76,0.472049689,746,5472,1418,163,494,891,58,790,4.63,1422,91,0.985,0
2006,NL,161,83,0.51552795,781,5522,1484,184,531,922,59,762,4.54,1475,98,0.984,1
2006,AL,162,61,0.37654321,689,5474,1395,190,441,1106,134,856,4.96,1600,116,0.981,0
2006,AL,162,80,0.49382716,835,5659,1571,183,505,1061,53,784,4.6,1558,98,0.984,1
2006,AL,162,87,0.537037037,809,5596,1591,199,514,906,65,754,4.37,1447,99,0.984,1
2006,NL,162,71,0.438271605,746,5495,1437,164,594,1156,123,872,5.03,1535,131,0.978,0
2007,NL,162,90,0.555555556,712,5398,1350,171,532,1111,109,732,4.13,1446,106,0.983,0
2007,NL,162,84,0.518518519,810,5689,1562,176,534,1149,64,733,4.11,1442,107,0.983,1
2007,AL,162,69,0.425925926,756,5631,1529,142,500,939,144,868,5.17,1491,79,0.987,0
2007,AL,162,96,0.592592593,867,5589,1561,166,689,1042,96,657,3.87,1350,81,0.986,1
2007,AL,162,72,0.444444444,693,5441,1341,190,532,1149,78,839,4.77,1556,108,0.982,0
2007,NL,162,85,0.524691358,752,5643,1530,151,500,1054,86,690,4.04,1340,94,0.984,1
2007,NL,162,72,0.444444444,783,5607,1496,204,536,1113,97,853,4.94,1605,95,0.984,0
2007,AL,162,96,0.592592593,811,5604,1504,178,590,1202,72,704,4.05,1519,92,0.985,1
2007,NL,163,90,0.552147239,860,5691,1591,171,622,1152,100,758,4.32,1497,68,0.989,1
2007,AL,162,88,0.543209877,887,5757,1652,177,474,1054,103,797,4.57,1498,99,0.984,1
2007,NL,162,71,0.438271605,790,5627,1504,201,521,1332,105,891,4.94,1617,137,0.977,0
2007,NL,162,73,0.450617284,723,5605,1457,167,547,1043,65,813,4.68,1566,103,0.983,0
2007,AL,162,69,0.425925926,706,5534,1447,102,428,1069,78,778,4.48,1547,106,0.982,0
2007,AL,162,94,0.580246914,822,5554,1578,123,507,883,139,731,4.23,1480,101,0.983,1
2007,NL,162,82,0.50617284,735,5614,1544,129,511,864,137,727,4.2,1443,114,0.981,1
2007,NL,162,83,0.512345679,801,5554,1455,231,501,1137,96,776,4.41,1513,109,0.982,1
2007,AL,162,79,0.487654321,718,5522,1460,118,512,839,112,725,4.15,1505,95,0.984,0
2007,AL,162,94,0.580246914,968,5717,1656,201,637,991,123,777,4.49,1498,88,0.985,1
2007,NL,162,88,0.543209877,804,5605,1543,177,549,981,200,750,4.26,1415,101,0.983,1
2007,AL,162,76,0.469135802,741,5577,1430,171,664,1119,52,758,4.28,1468,90,0.985,0
2007,NL,162,89,0.549382716,892,5688,1558,213,641,1205,138,821,4.73,1555,89,0.986,1
2007,NL,162,68,0.419753086,724,5569,1463,148,463,1135,68,846,4.93,1627,83,0.986,0
2007,NL,163,89,0.54601227,741,5612,1408,171,557,1229,55,666,3.7,1406,92,0.985,1
2007,AL,162,88,0.543209877,794,5684,1629,153,389,861,81,813,4.73,1578,90,0.985,0
2007,NL,162,71,0.438271605,683,5538,1407,131,532,907,119,720,4.19,1442,88,0.986,0
2007,NL,162,78,0.481481481,725,5529,1513,141,506,909,56,829,4.65,1514,121,0.98,0
2007,AL,162,66,0.407407407,782,5593,1500,187,545,1324,131,944,5.53,1649,117,0.98,0
2007,AL,162,75,0.462962963,816,5555,1460,179,503,1224,88,844,4.75,1525,124,0.98,0
2007,AL,162,83,0.512345679,753,5536,1434,165,533,1044,57,699,4,1383,102,0.984,1
2007,NL,162,73,0.450617284,673,5520,1415,123,524,1128,69,783,4.58,1502,109,0.982,0
2008,NL,162,82,0.50617284,720,5409,1355,159,587,1287,58,706,3.98,1403,113,0.981,1
2008,NL,162,72,0.444444444,753,5604,1514,130,618,1023,58,778,4.46,1439,107,0.983,0
2008,AL,161,68,0.422360248,782,5559,1486,172,533,990,81,869,5.13,1538,100,0.983,0
2008,AL,162,95,0.586419753,845,5596,1565,173,646,1068,120,694,4.01,1369,85,0.986,1
2008,AL,163,89,0.54601227,811,5553,1458,235,540,1016,67,729,4.06,1471,108,0.983,1
2008,NL,161,97,0.602484472,855,5588,1552,184,636,1186,87,671,3.87,1329,99,0.983,1
2008,NL,162,74,0.456790123,704,5465,1351,187,560,1125,85,800,4.55,1542,114,0.981,0
2008,AL,162,81,0.5,805,5543,1455,171,560,1213,77,761,4.45,1530,94,0.985,1
2008,NL,162,74,0.456790123,747,5557,1462,160,570,1209,141,822,4.77,1547,96,0.985,0
2008,AL,162,74,0.456790123,821,5641,1529,200,572,1076,63,857,4.9,1541,113,0.981,0
2008,NL,161,84,0.52173913,770,5499,1397,208,543,1371,76,767,4.43,1421,117,0.98,1
2008,NL,161,86,0.534161491,712,5451,1432,167,449,1051,114,743,4.36,1453,67,0.989,0
2008,AL,162,75,0.462962963,691,5608,1507,120,392,1005,79,781,4.48,1473,96,0.984,0
2008,AL,162,100,0.617283951,765,5540,1486,159,481,987,129,697,3.99,1455,91,0.985,1
2008,NL,162,84,0.518518519,700,5506,1455,137,543,1032,126,648,3.68,1381,101,0.984,1
2008,NL,162,90,0.555555556,750,5535,1398,198,550,1203,108,689,3.85,1415,101,0.984,1
2008,AL,163,88,0.539877301,829,5641,1572,111,529,979,102,745,4.16,1568,108,0.982,1
2008,AL,162,89,0.549382716,789,5572,1512,180,535,1015,118,727,4.28,1478,83,0.986,1
2008,NL,162,89,0.549382716,799,5606,1491,172,619,1024,138,715,4.07,1415,83,0.986,1
2008,AL,161,75,0.465838509,646,5451,1318,125,574,1226,88,690,4.01,1364,98,0.984,0
2008,NL,162,92,0.567901235,799,5509,1407,214,586,1117,136,680,3.88,1444,90,0.985,1
2008,NL,162,67,0.413580247,735,5628,1454,153,474,1039,57,884,5.08,1631,107,0.983,0
2008,NL,162,63,0.388888889,637,5568,1390,154,518,1259,36,764,4.41,1466,85,0.986,0
2008,AL,162,61,0.37654321,671,5643,1498,124,417,890,90,811,4.73,1544,99,0.984,0
2008,NL,162,72,0.444444444,640,5543,1452,94,452,1044,108,759,4.38,1416,96,0.983,0
2008,NL,162,86,0.530864198,779,5636,1585,174,577,985,73,725,4.19,1517,85,0.986,1
2008,AL,162,97,0.598765432,774,5541,1443,180,626,1224,142,671,3.82,1349,90,0.985,1
2008,AL,162,79,0.487654321,901,5728,1619,194,595,1207,81,967,5.37,1647,132,0.978,0
2008,AL,162,86,0.530864198,714,5503,1453,126,521,938,80,610,3.49,1330,84,0.986,1
2008,NL,161,59,0.366459627,641,5491,1376,117,534,1095,81,825,4.66,1496,123,0.98,0
